Vote_Share,WinLose
0.039521934,0
0.040448816,0
0.046461976,0
0.048305696,0
0.079307859,0
0.088195906,0
0.092245312,0
0.095800525,0
0.09731678,0
0.107611549,0
0.110393721,0
0.11982269,0
0.12305966,0
0.125696908,0
0.134704288,0
0.138128946,0
0.142857143,0
0.146136086,0
0.147804054,0
0.148862512,0
0.150525383,0
0.150668648,0
0.151669759,0
0.157950745,0
0.158627921,0
0.170166546,0
0.174821611,0
0.175194569,0
0.175524982,0
0.177561569,0
0.184356703,0
0.185129988,0
0.185949573,0
0.186420983,0
0.194877172,0
0.195652174,0
0.199436302,0
0.19961694,0
0.20131824,0
0.206200433,0
0.208022719,0
0.210270974,0
0.211177052,0
0.211386059,0
0.212917642,0
0.21465491,1
0.2193642,0
0.220719805,0
0.220968051,0
0.229661976,0
0.234727756,0
0.235212633,0
0.236081883,1
0.236978579,0
0.237283278,0
0.241392956,0
0.245959527,0
0.246347942,1
0.248628885,0
0.249321513,0
0.251728345,1
0.252702703,0
0.254180602,1
0.261706899,1
0.261722732,0
0.265195437,0
0.265272198,1
0.265654105,1
0.265709459,1
0.269870956,1
0.270124014,1
0.274145617,0
0.274592253,1
0.274947437,1
0.275334324,1
0.276064611,0
0.277535945,1
0.279505636,1
0.280013247,1
0.282333452,1
0.282786107,0
0.284004529,1
0.285008677,1
0.288863405,1
0.288876817,1
0.291551394,1
0.293461105,1
0.295140301,1
0.295744376,1
0.295914024,1
0.299372855,1
0.299851412,1
0.307104502,0
0.307603186,1
0.312676056,0
0.316625215,1
0.317342565,1
0.319394376,1
0.321749551,1
0.32261787,1
0.324745357,1
0.327856025,1
0.331323438,1
0.33250332,1
0.333783784,1
0.336018174,1
0.339243663,1
0.341609932,1
0.341873948,1
0.346705286,1
0.346791637,1
0.350642301,1
0.356877323,1
0.357404022,1
0.357942684,1
0.359271209,1
0.359467919,1
0.359662196,1
0.36346373,1
0.369994932,1
0.37351749,1
0.37414966,1
0.375617167,1
0.393967093,1
0.395013123,1
0.400036186,1
0.401574803,1
0.412062848,1
0.427227802,1
0.43806791,1
0.442125807,1
0.446153846,1
0.446727186,1
0.449447334,1
0.450512821,1
0.451075496,1
0.462585034,1
0.471066625,1
0.476297968,1
0.478774956,1
0.479707967,1
0.485706317,1
0.489798936,1
0.499575088,1
0.500424912,1
0.510201064,1
0.514293683,1
0.520292033,1
0.521225044,1
0.523702032,1
0.528933375,1
0.537414966,1
0.548924504,1
0.549487179,1
0.550552666,1
0.553272814,1
0.553846154,1
0.009514563,0
0.011919587,0
0.013203883,0
0.019165247,0
0.074039882,0
0.083855799,0
0.095612009,0
0.106488749,0
0.126793033,0
0.127392017,0
0.129774987,0
0.130818226,0
0.142578125,0
0.14549483,0
0.154307758,0
0.155879672,0
0.158041658,0
0.161572833,0
0.170305677,0
0.172637031,0
0.173811659,0
0.175255537,0
0.183913934,0
0.185048544,0
0.185778668,0
0.192307692,0
0.192900609,0
0.196535797,0
0.202036442,0
0.21703854,0
0.218291631,0
0.220017381,0
0.220400341,0
0.222455956,0
0.22663092,0
0.228717144,0
0.230946218,0
0.231096645,0
0.233118971,0
0.233232521,0
0.23631068,0
0.237728195,1
0.238711533,1
0.238917222,0
0.241258741,0
0.242759796,1
0.243906778,0
0.245618428,1
0.245631068,1
0.245633188,0
0.248888098,1
0.250323694,0
0.25202781,0
0.253750536,0
0.255938586,1
0.255982738,1
0.260407171,0
0.261521972,1
0.262053015,1
0.262400687,0
0.270114943,0
0.271437138,0
0.272016222,1
0.272561531,1
0.273789076,0
